ip,port,country,anonymity,https,speed
139.144.24.46,8080,US,1,false,213
13.125.151.78,80,US,3,false,180
18.190.21.166,80,US,1,false,269
103.134.44.176,8080,IN,3,false,169
35.213.91.45,80,JP,3,false,187
113.53.231.133,3129,TH,2,false,197
131.153.48.254,8080,SG,1,false,197
13.231.166.96,80,JP,3,false,327
163.172.31.44,80,FR,3,false,161
20.120.240.49,80,US,1,false,105
165.232.114.200,8080,DE,1,false,136
3.96.207.185,80,CA,3,false,230
47.242.3.214,8081,HK,1,false,388
190.26.201.194,8080,CO,1,false,110
13.127.56.176,80,IN,3,false,350
122.155.165.191,3128,TH,1,false,341
13.236.6.61,80,AU,3,false,280
41.76.145.136,443,ZA,1,false,236
77.247.108.17,33080,BZ,3,true,332
200.106.184.14,999,CO,2,false,3327
41.76.145.18,443,MZ,2,false,670
41.76.145.18,3128,MZ,2,false,844
129.151.173.15,8080,US,2,false,3727
64.225.8.82,9992,CA,3,false,1583
64.225.8.115,9980,CA,3,false,666
103.168.44.167,9191,,2,false,4451
135.125.68.145,3128,US,3,false,9989
136.243.55.199,3128,DE,2,false,9086
45.224.148.117,999,EC,2,false,4188
64.225.8.82,9993,CA,3,false,8626
202.86.138.18,8080,MO,3,false,1943
185.98.23.229,3128,FR,3,false,450
114.30.19.201,8080,KR,3,false,
171.226.91.210,14023,VN,3,true,
173.176.14.246,3128,CA,3,true,
